name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
IC750,SE,SE,4.85E-16,1.42E-04,1
IC764,E,E,1.70E-15,1.00E+00,1
NGC1309,SW,NW,3.56E-08,3.70E-02,0
NGC1324,SW,SW,9.89E-86,1.00E+00,1
NGC1337,NE,NE,7.61E-13,1.00E+00,1
NGC1353,SW,SW,1.04E-97,1.00E+00,1
NGC1385,W,W,1.64E-31,1.00E+00,1
NGC1415,SW,SW,1.43E-12,1.00E+00,1
NGC150,NE,NE,1.22E-44,1.00E+00,1
NGC1964,NW,NW,4.44E-38,3.11E-17,1
NGC210,E,E,2.09E-05,1.00E+00,1
NGC2268,S,S,4.21E-42,1.00E+00,1
NGC255,NW,SE,8.54E-02,2.94E-01,-1
NGC2713,N,NE,1.67E-31,1.00E+00,1
NGC2748,SE,SE,1.13E-72,1.00E+00,1
NGC2815,E,SE,2.39E-29,1.00E+00,1
NGC3003,N,N,7.45E-15,1.16E-02,1
NGC3185,SW,SW,2.52E-14,1.00E+00,1
NGC3200,N,E,1.37E-55,1.00E+00,0
NGC3370,NE,NE,5.58E-13,6.09E-01,1
NGC3430,NW,NW,7.10E-09,1.00E+00,1
NGC3726,W,E,1.59E-61,2.39E-02,-1
NGC3813,N,N,2.66E-47,1.00E+00,1
NGC3877,SE,SE,1.28E-22,1.00E+00,1
NGC3887,W,W,6.95E-42,1.00E+00,1
NGC3917,SE,S,1.10E-134,1.00E+00,1
NGC4094,NW,NW,4.24E-36,1.00E+00,1
NGC4096,NW,W,1.19E-36,1.00E+00,1
NGC4162,W,W,1.25E-02,9.79E-02,1
NGC4178,SE,SE,7.59E-19,7.30E-04,1
NGC4192,NE,NE,0.00E+00,1.00E+00,1
NGC4220,NE,NE,7.87E-117,1.00E+00,1
NGC4274,NE,N,2.37E-92,1.00E+00,1
NGC4579,NW,N,1.79E-44,1.00E+00,1
NGC4586,NE,NE,2.71E-62,8.66E-07,1
NGC4593,NW,N,2.93E-02,1.00E+00,1
NGC4602,S,S,3.00E-75,1.00E+00,1
NGC470,SW,W,1.89E-26,1.00E+00,1
NGC4771,NE,NE,3.70E-80,1.00E+00,1
NGC4800,W,NW,7.09E-16,1.00E+00,1
NGC4845,SE,S,1.49E-214,1.00E+00,1
NGC4951,N,N,8.18E-84,1.00E+00,1
NGC5443,SE,SE,6.80E-34,1.00E+00,1
NGC5522,SE,SE,3.40E-09,1.00E+00,1
NGC5533,SE,SE,6.48E-59,1.00E+00,1
NGC5559,SE,SE,1.21E-39,1.00E+00,1
NGC5587,SW,W,1.85E-59,1.00E+00,1
NGC5616,NE,E,1.39E-30,1.00E+00,1
NGC5656,SE,SE,2.24E-36,1.00E+00,1
NGC5676,SE,SE,9.39E-68,1.00E+00,1
NGC5690,SW,SW,1.06E-31,1.00E+00,1
NGC5750,NW,N,3.77E-37,1.00E+00,1
NGC6118,NW,NW,1.32E-36,1.00E+00,1
NGC716,NW,NW,3.24E-06,1.00E+00,1
NGC7184,NW,NW,2.54E-71,1.00E+00,1
NGC7314,E,E,7.09E-48,1.00E+00,1
NGC7392,NE,N,8.97E-49,1.00E+00,1
NGC7448,SW,W,8.11E-06,3.82E-02,1
NGC7721,W,W,1.94E-79,1.00E+00,1
NGC779,NE,E,4.65E-60,1.00E+00,1
NGC787,SE,S,1.00E-36,1.00E+00,1